part_a,part_b,similarity,distance,topology_distance,geometry_distance,shape_distance,size_distance,size_gate_failed,same_group
45,54,0.9999999999990937,9.062846184585637e-13,0.0,1.2667930765057161e-14,4.514800669820976e-12,1.0500120206948901e-15,False,False
35,45,0.9999999999990888,9.112067845691322e-13,0.0,4.001684358228888e-15,4.550124179888461e-12,1.2101833458856327e-15,False,False
41,52,0.999999999999088,9.12015082644281e-13,0.0,1.0078852489165432e-14,4.547183200180431e-12,3.91529906021823e-16,False,True
28,31,0.9999999999990871,9.129545604209694e-13,0.0,9.158366687629077e-15,4.552470596677627e-12,1.1389960902453064e-15,False,True
28,40,0.9999999999990846,9.154218178366835e-13,0.0,3.0217489872938944e-14,4.538709889151914e-12,8.364502537738962e-16,False,True
35,38,0.9999999999990784,9.21612902216029e-13,0.0,1.448982407535873e-14,4.5886708603844195e-12,1.7084941353679509e-15,False,True
35,43,0.9999999999990705,9.29474352467235e-13,0.0,7.210408440225522e-15,4.637277595340855e-12,1.4415419267167094e-15,False,False
38,46,0.9999999999990664,9.33591515471465e-13,0.0,4.100155549535975e-15,4.661777921696232e-12,1.4059482988965502e-15,False,False
35,55,0.9999999999990625,9.374554952817452e-13,0.0,1.3007625921649366e-15,4.684637104775645e-12,1.3525578571662935e-15,False,False
46,57,0.999999999999062,9.37998041672541e-13,0.0,8.314806978349683e-15,4.678568933636461e-12,1.3703546710763784e-15,False,True
42,52,0.9999999999990598,9.402503784882438e-13,0.0,4.570458959604719e-15,4.694818047778354e-12,9.610279511444738e-16,False,True
41,57,0.999999999999058,9.419890218967176e-13,0.0,2.667823300332083e-15,4.706263292486926e-12,4.627171616621544e-16,False,True
25,40,0.999999999999052,9.480546235731068e-13,0.0,2.1813674840971534e-14,4.712538857949179e-12,6.228884868529002e-16,False,True
37,44,0.9999999999990505,9.495157072297198e-13,0.0,6.361766942328891e-15,4.73901233739079e-12,8.186534398638121e-16,False,False
53,54,0.9999999999990493,9.506534256726151e-13,0.0,5.644422136894257e-15,4.745530872559897e-12,9.07637509414228e-16,False,True
32,54,0.9999999999990491,9.508721178858561e-13,0.0,9.004198373170767e-15,4.742704913149841e-12,5.339044173024868e-16,False,True
29,44,0.9999999999990429,9.571303885679936e-13,0.0,1.2541869852600441e-14,4.768880101468746e-12,1.4593387406267926e-15,False,False
32,56,0.9999999999990413,9.586496496279993e-13,0.0,4.038995136739752e-15,4.787678947412201e-12,6.940757424932332e-16,False,False
37,51,0.9999999999990398,9.602621161387477e-13,0.0,1.3014795942262365e-14,4.784481486127742e-12,7.474661842234822e-16,False,True
25,52,0.9999999999990365,9.634404899564415e-13,0.0,1.2053485129850415e-14,4.801601688952592e-12,7.118725564033142e-16,False,True
51,54,0.9999999999990221,9.77938432613761e-13,0.0,8.623088961444347e-15,4.878152488072343e-12,1.014418392874726e-15,False,False
38,41,0.9999999999990212,9.787841948268545e-13,0.0,1.2770966919694678e-14,4.877636922834272e-12,4.271235338419896e-16,False,False
24,35,0.9999999999990205,9.795694167798683e-13,0.0,7.670316725865525e-15,4.887351550482595e-12,1.2101833458856382e-15,False,False
29,59,0.9999999999990176,9.824477999664865e-13,0.0,3.5301809886249317e-15,4.90703876458113e-12,1.050012020694888e-15,False,True
34,54,0.9999999999990086,9.914444151854736e-13,0.0,1.2508605922245701e-14,4.940425076416927e-12,1.5483228101772144e-15,False,True
31,37,0.9999999999990071,9.929181468394173e-13,0.0,1.7340747217343343e-14,4.942047205497291e-12,1.1567929041553837e-15,False,True
35,36,0.9999999999990038,9.961713507975745e-13,0.0,4.747781290482256e-15,4.9736673519941085e-12,1.672900507547784e-15,False,False
31,33,0.999999999999002,9.979892832175663e-13,0.0,1.0925088112263743e-14,4.975889627634525e-12,5.339044173024858e-16,False,True
21,57,0.9999999999989995,1.0005618272447143e-12,0.0,8.903289426460575e-15,4.991306291348384e-12,4.9831078948232e-16,False,True
